19,4,72
18,5,74
22,4,70
29,5,63
8,2,87
4,1,94
4,3,91
13,2,81
21,4,73
4,0,94
33,5,56
8,3,87
36,4,53
22,3,73
25,5,66
8,2,89
19,5,73
19,5,73
27,7,64
21,2,68
20,5,73
26,5,68
26,6,64
9,6,83
5,2,92
2,0,96
3,2,94
3,0,95
14,4,77
4,0,93
2,0,97
3,2,94
6,1,89
18,6,72
25,3,70
14,5,79
12,4,83
6,2,90
14,3,70
5,1,92
6,2,91
4,2,93
5,1,86
6,3,89
5,0,84
3,0,94
4,2,90
3,1,95
4,2,93
5,1,92
4,1,92
4,2,93
4,3,54
38,9,32
8,6,36
23,6,47
24,3,62
47,7,32
9,3,78
6,2,75
8,3,64
7,1,74
6,1,86
6,2,74
7,2,89
12,4,82
10,2,82
19,4,73
10,4,62
4,2,92
14,3,81
23,4,60
8,3,85
32,8,58
3,3,90
2,1,82
3,1,75
1,1,87
10,8,72
18,6,74
4,2,93
1,0,73
3,1,86
8,4,87
4,2,90
1,0,98
21,5,69
18,5,76
6,3,86
1,1,96
1,0,97
3,0,95
2,0,71
3,3,92
2,1,95
1,0,97
9,1,88
16,4,67
14,5,67
15,5,72
32,7,60
8,1,70
6,2,73
9,3,85
26,7,62
10,1,85
3,1,94
9,2,86
9,3,79
7,2,90
8,2,81
5,2,51
28,4,66
21,7,62
31,8,59
19,6,71
16,3,76
26,7,61
28,6,64
26,6,61
15,4,79
15,3,77
20,6,72
17,3,78
13,3,81
14,3,79
18,4,76
16,6,76
28,8,61
15,4,78
14,3,79
30,5,62
53,11,25
44,8,44
9,3,64
9,2,77
17,3,77
13,7,78
17,3,77
20,8,70
34,8,54
30,10,57
26,9,63
11,3,66
14,2,64
25,2,71
15,3,79
20,7,67
20,3,75
16,4,69
21,6,69
12,3,83
12,6,79
10,2,78
10,2,86
11,3,83
14,3,81
19,8,70
18,4,77
18,4,74
10,5,83
32,5,59
36,6,54
9,2,87
20,4,49
31,7,53
51,8,35
57,10,25
30,6,50
53,8,30
33,4,53
15,2,81
16,3,64
14,3,77
21,4,59
11,2,58
25,6,49
18,5,56
21,4,52
19,5,63
18,4,73
2,1,95
34,4,60
28,6,59
19,5,74
18,6,72
14,4,74
13,4,81
22,5,70
22,5,69
12,5,81
10,3,85
10,2,84
13,4,76
10,3,84
28,5,61
13,2,84
18,2,76
12,3,83
14,2,82
15,3,77
11,3,85
22,5,71
19,4,75
14,4,78
17,5,77
31,6,53
42,7,40
27,5,64
17,3,76
23,4,71
12,3,79
38,7,46
53,8,34
22,3,72
16,4,74
11,3,73
10,2,77
9,2,86
12,2,84
9,3,86
8,1,89
12,2,78
13,2,84
7,1,84
9,3,86
10,2,83
11,2,82
8,1,90
7,2,90
16,3,78
8,2,89
12,2,52
25,5,37
19,3,52
7,3,64
6,2,54
16,3,78
16,2,79
17,3,78
12,4,78
10,2,86
23,5,69
62,10,25
29,5,64
14,4,76
21,5,72
33,3,61
37,6,38
12,2,84
31,6,54
43,6,38
28,6,61
28,6,57
24,5,68
55,11,27
52,8,38
33,5,59
21,3,69
14,2,78
13,3,72
7,2,90
7,2,69
7,2,67
16,3,51
9,4,50
16,4,58
20,3,71
20,3,75
20,3,76
15,3,68
14,2,78
45,8,44
27,4,63
21,6,67
18,6,71
13,5,69
19,7,72
18,4,77
11,4,81
32,5,60
14,4,75
25,5,64
26,6,51
16,6,76
15,4,79
14,4,77
16,6,76
27,5,64
18,5,65
15,3,62
10,3,71
18,5,66
14,4,61
23,6,69
16,4,77
15,4,78
13,5,79
21,6,71
26,5,62
15,3,78
17,4,75
27,5,62
12,4,82
19,3,68
13,2,82
7,1,90
6,1,80
7,3,66
7,1,78
6,1,92
7,0,91
8,1,90
7,3,81
7,2,87
17,3,76
22,5,67
14,2,81
19,6,66
8,2,88
9,3,86
10,2,77
8,1,90
11,4,82
42,11,32
52,9,31
21,4,56
14,2,82
42,8,47
37,6,39
32,7,43
42,9,12
72,11,10
32,7,59
27,7,26
33,9,26
24,5,40
20,5,73
22,6,69
19,6,72
28,4,65
15,3,78
20,5,72
13,4,76
12,4,81
9,2,74
10,3,85
15,3,65
10,4,75
20,5,73
12,3,82
19,6,73
13,5,80
19,5,61
17,4,77
3,1,66
9,2,63
14,4,80
6,0,77
2,0,87
3,1,94
2,1,96
6,3,87
2,1,89
19,3,55
11,3,74
13,4,68
5,4,64
10,3,49
7,2,66
9,3,86
7,2,81
7,4,88
28,5,65
6,1,89
15,3,80
9,2,85
29,3,42
9,1,71
11,2,86
15,3,79
8,2,63
9,3,75
7,1,67
27,10,26
13,3,62
5,2,69
19,5,56
7,3,73
4,1,93
2,1,95
6,2,90
10,4,84
3,1,78
3,1,57
3,1,95
2,1,93
3,3,85
3,1,81
16,4,57
2,1,90
22,3,69
16,4,65
33,11,34
24,7,34
16,7,36
8,3,70
4,1,87
8,2,72
5,2,92
6,2,78
5,1,81
12,3,61
22,4,60
8,2,75
12,3,80
7,1,58
50,15,21
6,1,67
6,2,63
3,2,77
3,1,92
6,4,86
6,1,89
6,2,83
18,3,77
20,3,73
12,3,84
9,3,77
7,2,89
14,3,81
13,3,68
26,3,59
24,5,57
5,3,57
14,4,65
12,6,63
14,3,78
3,2,81
3,0,95
8,1,90
11,5,82
20,5,70
17,5,73
6,2,80
4,1,72
9,2,83
32,7,59
31,7,42
17,3,77
16,2,77
12,2,83
25,4,64
8,2,87
9,1,84
2,0,72
4,1,69
12,4,61
11,2,72
9,1,84
12,2,66
11,2,86
9,4,78
8,2,74
22,4,46
29,4,64
22,3,63
41,8,25
28,7,61
31,6,50
15,3,79
9,0,90
